Nitric oxide,-108800.0
Potassium hydroxide,-2475.0
Calcium hydroxide,330.0
Phosphoric acid,583920.0
PBT-TPA,248400.0
PBT-DMT,278500.0
Caprolactone,-138400.0
PCL,0.0
Pentaerithrytol,200640.0
Glyptal,-647200.0
SMA,-260800.0
PEG,-86800.0
Tetrahydrofuran,58500.0
PTMEG,172800.0
PPG,31900.0
PBO,237600.0
butylene oxide,-33600.0
PA/POM,84000.0
POM copolymer,310800.0
trioxane,-33600.0
PPO,210000.0
"2,6 dimethylphenol",-166800.0
Ethanol,-110600.0
Corn sucrose,50850.0
Sugacane sucrose,20400.0
Sugarbeet sucrose,1500.0
Ethanol to butadiene,32088.22
Oxidative methane coupling,-13598.262588235288
Electric steam cracking,5035.213579635158
Electric Haber Bosch,43600.0
